YEARDAY,LON,LAT
128.2236111,-60.05577564,35.7028842
128.2694444,-60.02247334,35.68939805
128.3152778,-59.98187542,35.67585826
128.3611111,-59.93812323,35.66226482
128.4069444,-59.89130259,35.64237356
128.4513889,-59.84643459,35.61372757
128.4972222,-59.80038643,35.57933092
128.5430556,-59.76635456,35.53696275
128.5895833,-59.76259947,35.49260974
128.6354167,-59.75976706,35.44678688
128.68125,-59.75839376,35.39811015
128.6868056,-59.75820065,35.39092183
128.7270833,-59.75905895,35.35006642
128.7715278,-59.76553917,35.3050375
128.8173611,-59.7759676,35.26188612
128.8631944,-59.79141712,35.21843433
128.9090278,-59.80746746,35.17573357
128.9555556,-59.82718706,35.1369381
129.0013889,-59.84205723,35.10009527
129.0472222,-59.85928774,35.06451845
129.0916667,-59.87505913,35.02942443
129.1375,-59.8893714,34.99171257
129.1833333,-59.90424156,34.9530673
129.1875,-59.90610838,34.94975209
129.2291667,-59.91657972,34.91791964
129.275,-59.92608547,34.88561511
129.3208333,-59.94095564,34.85284925
129.3673611,-59.96455908,34.81855989
129.4118056,-59.99485731,34.77988243
129.4576389,-60.02434015,34.73911285
129.5034722,-60.05648375,34.69716311
129.5493056,-60.09403467,34.65520263
129.5951389,-60.13838768,34.61524844
129.6409722,-60.18952131,34.5798111
129.6868056,-60.23880959,34.54732418
129.73125,-60.28719664,34.5196867
129.7777778,-60.33242941,34.4919312
129.8236111,-60.37482977,34.4683814
129.8694444,-60.41579247,34.44314718
129.9152778,-60.45274258,34.41651821
129.9611111,-60.48771858,34.3853724
130.0069444,-60.52260876,34.35608268
130.0513889,-60.55211306,34.32743669
130.0986111,-60.5751586,34.30041075
130.1430556,-60.59492111,34.27473664
130.1875,-60.61395407,34.25130486
130.2354167,-60.62800884,34.22256231
130.28125,-60.64154863,34.19168472
130.3270833,-60.65094709,34.16103244
130.3715278,-60.65862894,34.12615299
130.4173611,-60.66796303,34.10031796
